id,School,Gender,Race,Local,Full Time,Future,Effectiveness,Online Supplement,Supplement Use
916077115,San Francisco State University,Male,Asian,Local Student,Full time,Very helpful,Somewhat effective,Very helpful,No problem at all
916082731,San Francisco State University,Male,Hispanic,Local Student,Full time,Very helpful,Very effective,Very helpful,No problem at all
917218853,San Francisco State University,Male,White,Local Student,Full time,Very helpful,Very effective,Very helpful,Not too difficult
916777620,San Francisco State University,Male,Asian,Local Student,Full time,Very helpful,Very effective,Very helpful,Somewhat difficult
@00293246,San Francisco State University,Female,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,No problem at all
20397598,University of San Francisco,Male,Asian,Local Student,Full time,Somewhat helpful,Very effective,Very helpful,Somewhat difficult
917017522,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
916423734,San Francisco State University,Male,Asian,International Student,Full time,Very helpful,Very effective,Very helpful,Somewhat difficult
916600781,San Francisco State University,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Not too helpful,Somewhat difficult
916779674,San Francisco State University,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,No problem at all
916164605,San Francisco State University,Male,Asian,Local Student,Full time,Very helpful,Somewhat effective,Very helpful,Somewhat difficult
916040065,San Francisco State University,Female,African American,Local Student,Full time,Very helpful,Very effective,Very helpful,Not too difficult
916607086,San Francisco State University,Male,White,Local Student,Full time,Very helpful,Very effective,Very helpful,Very difficult
917012907,San Francisco State University,Female,White,Local Student,Full time,Not related,Somewhat effective,Very helpful,Not too difficult
916011101,San Francisco State University,Male,Hispanic,Local Student,Part time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
917063646,San Francisco State University,Female,Asian,Local Student,Full time,Very helpful,Very effective,Very helpful,Not too difficult
916213004,San Francisco State University,Male,Hispanic,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,No problem at all
915224120,San Francisco State University,Female,White,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,No problem at all
912620883,San Francisco State University,Female,Asian,Local Student,Full time,Very helpful,Somewhat effective,Very helpful,No problem at all
20383600,University of San Francisco,Female,Hispanic,Local Student,Full time,Not too helpful,Somewhat effective,Very helpful,No problem at all
916338051,San Francisco State University,Female,Hispanic,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,No problem at all
w10627332,City College of San Francisco,Female,Hispanic,Local Student,Full time,Somewhat helpful,Not too effective,Not too helpful,Not too difficult
916693666,San Francisco State University,Male,White,Local Student,Full time,Somewhat helpful,Very effective,Very helpful,Not too difficult
917180126,San Francisco State University,Female,Others,International Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Somewhat difficult
915505869,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,No problem at all
913722750,San Francisco State University,Male,Asian,International Student,Full time,Very helpful,Very effective,Very helpful,Very difficult
20453107,University of San Francisco,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,No problem at all
916742676,San Francisco State University,Female,Hispanic,Local Student,Full time,Very helpful,Somewhat effective,Very helpful,Not too difficult
20365765,University of San Francisco,Female,Hispanic,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,No problem at all
915892996,San Francisco State University,Male,White,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,No problem at all
917114801,San Francisco State University,Male,White,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,Somewhat difficult
917081040,San Francisco State University,Male,White,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
915362596,San Francisco State University,Male,Hispanic,Local Student,Full time,Not too helpful,Somewhat effective,Very helpful,No problem at all
915473291,San Francisco State University,Female,Hispanic,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
912780692,San Francisco State University,Female,White,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
916735617,San Francisco State University,Male,Asian,Local Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,Not too difficult
913811085,San Francisco State University,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Somewhat difficult
915479544,San Francisco State University,Female,Hispanic,Local Student,Full time,Somewhat helpful,Very effective,Very helpful,Somewhat difficult
W10610676,City College of San Francisco,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,No problem at all
916543256,San Francisco State University,Male,Asian,International Student,Full time,Very helpful,Very effective,Very helpful,Not too difficult
916093729,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Not too effective,Somewhat helpful,No problem at all
916782872,San Francisco State University,Male,White,Local Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,Not too difficult
20385308,University of San Francisco,Male,White,Local Student,Full time,Not too helpful,Somewhat effective,Somewhat helpful,No problem at all
20403071,University of San Francisco,Male,White,Local Student,Full time,Very helpful,Very effective,Very helpful,No problem at all
20403727,University of San Francisco,Male,Hispanic,Local Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,Somewhat difficult
W10346941,City College of San Francisco,Male,Asian,Local Student,Part time,Very helpful,Very effective,Very helpful,No problem at all
916434368,San Francisco State University,Male,Asian,International Student,Full time,Very helpful,Very effective,Very helpful,Somewhat difficult
916684462,San Francisco State University,Female,Others,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
W78018756,City College of San Francisco,Male,Asian,Local Student,Part time,Very helpful,Very effective,Very helpful,No problem at all
w77076194,City College of San Francisco,Female,Asian,Local Student,Full time,Very helpful,Very effective,Very helpful,Not too difficult
913308375,San Francisco State University,Female,Hispanic,Local Student,Full time,Somewhat helpful,Somewhat effective,Not too helpful,No problem at all
w10372291,City College of San Francisco,Female,Asian,Local Student,Part time,Somewhat helpful,Very effective,Very helpful,Not too difficult
917211443,San Francisco State University,Male,Asian,International Student,Full time,Not too helpful,Not too effective,Not helping at all,Not too difficult
917220127,San Francisco State University,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
20447005,University of San Francisco,Male,Hispanic,Local Student,Full time,Very helpful,Very effective,Very helpful,Not too difficult
917028819,San Francisco State University,Female,White,Local Student,Full time,Very helpful,Not too effective,Not too helpful,Not too difficult
915149994,San Francisco State University,Male,Hispanic,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,Not too difficult
911971312,San Francisco State University,Male,White,Local Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,Not too difficult
@00293014,City College of San Francisco,Male,African American,International Student,Full time,Somewhat helpful,Not too effective,Somewhat helpful,Somewhat difficult
20400554,University of San Francisco,Female,Hispanic,Local Student,Full time,Somewhat helpful,Struggle learning in this class,Not too helpful,No problem at all
916549288,San Francisco State University,Female,White,Local Student,Full time,Not too helpful,Somewhat effective,Somewhat helpful,Not too difficult
20396161,University of San Francisco,Female,White,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,No problem at all
