ID,Final,Attend,Year,Semester,Class,Platform
@00293014,0.777106154,0.684210526,2016,Fall,102,EconLab
W10609805,0.943428571,0.736842105,2016,Fall,102,EconLab
W10372291,0.741857778,0.631578947,2016,Fall,102,EconLab
@00293246,0.692772234,0.684210526,2016,Fall,102,EconLab
@00283469,0.68,0.710526316,2016,Fall,102,EconLab
W10608407,0.909090794,0.684210526,2016,Fall,102,EconLab
W10546500,0.558955238,0.5,2016,Fall,102,EconLab
W10610543,0.342873651,0.473684211,2016,Fall,102,EconLab
W78014765,0.326061587,0.473684211,2016,Fall,102,EconLab
W10545136,0.217444444,0.421052632,2016,Fall,102,EconLab
W10627332,0.597913968,0.657894737,2016,Fall,102,EconLab
W10632556,0.957659341,0.736842105,2016,Fall,102,EconLab
@00281914,0.791038657,0.710526316,2016,Fall,102,EconLab
W10610676,0.912021978,0.552631579,2016,Fall,102,EconLab
W10370252,0.762459707,0.736842105,2016,Fall,102,EconLab
W10485262,0.363460317,0.105263158,2016,Fall,102,EconLab
W78018756,1,0.851851852,2016,Fall,101,LaunchPad
W10474874,0.431126984,0.814814815,2016,Fall,101,LaunchPad
W77018564,0.68,0.925925926,2016,Fall,101,LaunchPad
W10621049,0.807285714,0.851851852,2016,Fall,101,LaunchPad
W77076194,0.696761905,0.777777778,2016,Fall,101,LaunchPad
W10536613,0.979095238,0.703703704,2016,Fall,101,LaunchPad
W10614387,0.68,0.444444444,2016,Fall,101,LaunchPad
W10520771,0.536222222,0.777777778,2016,Fall,101,LaunchPad
W10436426,0.68,0.962962963,2016,Fall,101,LaunchPad
W10346941,0.980333333,1,2016,Fall,101,LaunchPad
W10436338,0.045,0.703703704,2016,Fall,101,LaunchPad
W10533272,0.68,0.62962963,2016,Fall,101,LaunchPad
W10332574,0.37468254,0.259259259,2016,Fall,101,LaunchPad
W10307684,0.313111111,0.407407407,2016,Fall,101,LaunchPad
W10632556,0.995142857,0.962962963,2016,Fall,101,LaunchPad
W10546008,0.326111111,0.111111111,2016,Fall,101,LaunchPad
W00691265,0.587888889,0.666666667,2016,Fall,101,LaunchPad
W10485795,0.830285714,0.925925926,2016,Fall,101,LaunchPad
20400616,0.834857143,0.857142857,2016,Fall,101,LaunchPad
20386191,0.644238095,0.628571429,2016,Fall,101,LaunchPad
20402818,0.77447619,0.8,2016,Fall,101,LaunchPad
20383600,0.53747619,0.914285714,2016,Fall,101,LaunchPad
20396161,0.844571429,0.914285714,2016,Fall,101,LaunchPad
20391360,0.71447619,0.857142857,2016,Fall,101,LaunchPad
20384727,0.841095238,0.914285714,2016,Fall,101,LaunchPad
20397598,0.737142857,0.885714286,2016,Fall,101,LaunchPad
20391171,0.809571429,0.885714286,2016,Fall,101,LaunchPad
20402971,0.772093571,0.628571429,2016,Fall,101,LaunchPad
20401430,0.559095238,0.828571429,2016,Fall,101,LaunchPad
20383015,0.741571429,0.857142857,2016,Fall,101,LaunchPad
20359402,0.747428571,0.885714286,2016,Fall,101,LaunchPad
20385308,0.718190476,0.914285714,2016,Fall,101,LaunchPad
20403678,0.892285714,0.914285714,2016,Fall,101,LaunchPad
20390813,0.791095238,1,2016,Fall,101,LaunchPad
20398748,0.899428571,0.885714286,2016,Fall,101,LaunchPad
20396692,0.778333333,0.885714286,2016,Fall,101,LaunchPad
20392214,0.766095238,0.685714286,2016,Fall,101,LaunchPad
20446222,0.87,0.914285714,2016,Fall,101,LaunchPad
20403727,0.881142857,0.885714286,2016,Fall,101,LaunchPad
20390495,0.74652381,0.8,2016,Fall,101,LaunchPad
20402074,0.834,0.914285714,2016,Fall,101,LaunchPad
20386727,0.68,0.371428571,2016,Fall,101,LaunchPad
