id,Feet,Inches,Weight,Exercise per Week,Exercise Time,Read Label,Taste,Price,Nutrition,Presentation,Appearance,Health,Parents Overweight
916607086,6,0,220,5 to 7 days a week,Over an hour,Always,3,1,2,4,Yes,Yes,No
916077115,5,7,137,2 to 4 days a week,Over an hour,Often,4,1,2,3,Yes,Yes,No
916082731,5,10,150,2 to 4 days a week,30 - 40 minutes,Often,1,3,2,4,Yes,Yes,No
917218853,6,2,210,2 to 4 days a week,40 - 50 minutes,Often,1,3,2,4,Yes,Yes,No
916209091,5,9,163,2 to 4 days a week,Over an hour,Always,2,1,3,4,Yes,Yes,No
916777620,5,7,150,2 to 4 days a week,20 - 30 minutes,Sometime,4,2,3,1,No,Yes,No
@00293246,6,0,114,I don't regularly exercise,10 - 20 minutes,Not too often,1,2,3,4,Yes,Yes,No
20397598,5,8,125,2 to 4 days a week,Over an hour,Sometime,1,2,4,3,Yes,Yes,No
917017522,5,5,120,Once a week,30 - 40 minutes,Not too often,2,1,3,4,Yes,Yes,No
916600781,5,9,140,2 to 4 days a week,Over an hour,Not too often,1,2,3,4,Yes,Yes,No
916779674,4,10,148,Once a week,30 - 40 minutes,Never,,,3,1,Yes,Yes,No
916164605,5,9,170,2 to 4 days a week,Over an hour,Never,1,2,4,3,Yes,Yes,No
916040065,5,0,132,I don't regularly exercise,Over an hour,Sometime,1,2,3,4,No,No,No
917012907,5,8,150,2 to 4 days a week,Over an hour,Often,2,4,1,3,Yes,Yes,No
916011101,5,7,150,2 to 4 days a week,40 - 50 minutes,Often,,,,3,Yes,Yes,No
917063646,5,6,96,I don't regularly exercise,10 - 20 minutes,Sometime,1,2,3,4,No,No,No
916213004,5,4,115,2 to 4 days a week,Over an hour,Not too often,4,3,1,2,Yes,Yes,No
915224120,5,2,115,2 to 4 days a week,40 - 50 minutes,Never,2,1,4,3,Yes,Yes,Not sure
912620883,5,1,150,I don't regularly exercise,30 - 40 minutes,Never,2,1,3,4,Yes,Yes,No
20383600,5,6,180,5 to 7 days a week,40 - 50 minutes,Sometime,2,1,4,3,Yes,Yes,No
916338051,5,4,126,2 to 4 days a week,40 - 50 minutes,Never,2,1,3,4,Yes,Yes,No
w10627332,5,3,135,2 to 4 days a week,Over an hour,Often,2,3,1,4,Yes,Yes,No
916693666,5,11,178,2 to 4 days a week,Over an hour,Sometime,1,2,3,4,Yes,Yes,No
917180126,5,2,,2 to 4 days a week,Over an hour,Sometime,4,1,2,3,Yes,Yes,No
915505869,5,6,160,2 to 4 days a week,20 - 30 minutes,Sometime,1,2,3,4,Yes,Yes,Not sure
913722750,5,5,120,I don't regularly exercise,Over an hour,Sometime,2,1,4,3,No,No,Yes
916742676,5,1,130,2 to 4 days a week,Over an hour,Often,4,1,3,2,Yes,Yes,Yes
20453107,5,5,105,I don't regularly exercise,20 - 30 minutes,Not too often,1,3,2,4,No,Yes,No
20365765,5,2,150,Once a week,30 - 40 minutes,Sometime,4,1,3,2,Yes,Yes,Yes
915892996,6,0,192,5 to 7 days a week,40 - 50 minutes,Often,,,,3,Yes,Yes,No
917114801,6,2,165,2 to 4 days a week,40 - 50 minutes,Sometime,1,,2,3,Yes,Yes,No
917081040,5,9,160,Once a week,30 - 40 minutes,Often,3,1,2,4,Yes,Yes,No
915362596,6,1,220,2 to 4 days a week,Over an hour,Not too often,1,3,4,2,Yes,Yes,No
912780692,5,9,140,5 to 7 days a week,20 - 30 minutes,Always,1,3,2,4,Yes,Yes,No
915473291,5,2,140,Once a week,40 - 50 minutes,Sometime,1,2,3,4,Yes,Yes,No
