id,School,Gender,Race,Local,Full Time,Future,Effectiveness,Online Supplement,Supplement Use
68968,Diablo Valley College,Male,Asian,Local Student,Full time,Very helpful,Very effective,Very helpful,Somewhat difficult
46998,Diablo Valley College,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
79024,Diablo Valley College,Female,African American,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Somewhat difficult
28231,Diablo Valley College,Male,White,Local Student,Part time,Somewhat helpful,Somewhat effective,Somewhat helpful,Somewhat difficult
85016,Diablo Valley College,Male,Asian,Local Student,Full time,Not too helpful,Not too effective,Somewhat helpful,Somewhat difficult
36853,San Francisco State University,Male,Asian,Local Student,Full time,Not too helpful,Not too effective,Very helpful,No problem at all
65795,Diablo Valley College,Male,Asian,International Student,Full time,Very helpful,Very effective,Very helpful,Not too difficult
47654,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Very effective,Somewhat helpful,Not too difficult
20273,Diablo Valley College,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
58160,Diablo Valley College,Female,Asian,International Student,Full time,Very helpful,Very effective,Somewhat helpful,No problem at all
36036,Diablo Valley College,Male,Asian,International Student,Full time,Very helpful,Somewhat effective,Very helpful,No problem at all
27781,Diablo Valley College,Female,Asian,International Student,Full time,Very helpful,Very effective,Somewhat helpful,Somewhat difficult
94353,Diablo Valley College,Male,Asian,International Student,Full time,Very helpful,Very effective,Very helpful,Somewhat difficult
67021,Diablo Valley College,Female,Asian,International Student,Full time,Very helpful,Very effective,Very helpful,Very difficult
21174,Diablo Valley College,Female,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,No problem at all
50901,Diablo Valley College,Male,White,Local Student,Full time,Very helpful,Very effective,Very helpful,Somewhat difficult
53604,Diablo Valley College,Male,Asian,Local Student,Full time,Very helpful,Very effective,Very helpful,No problem at all
15752,Diablo Valley College,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,No problem at all
74776,Diablo Valley College,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
46067,Diablo Valley College,Male,White,Local Student,Full time,Somewhat helpful,Somewhat effective,Not helping at all,Not too difficult
15366,Diablo Valley College,Male,Asian,International Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,Not too difficult
70379,Diablo Valley College,Female,Asian,International Student,Full time,Very helpful,Very effective,Very helpful,No problem at all
57716,Diablo Valley College,Male,Asian,International Student,Full time,Very helpful,Somewhat effective,Very helpful,Not too difficult
47811,Diablo Valley College,Female,Asian,International Student,Full time,Very helpful,Very effective,Very helpful,Not too difficult
87674,Diablo Valley College,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
38283,Diablo Valley College,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,No problem at all
92132,Diablo Valley College,Female,Asian,International Student,Full time,Somewhat helpful,Very effective,Very helpful,No problem at all
11388,San Francisco State University,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,No problem at all
04049,San Francisco State University,Female,Asian,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,No problem at all
06658,Diablo Valley College,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
44587,San Francisco State University,Female,Asian,Local Student,Full time,Very helpful,Very effective,Very helpful,No problem at all
64197,San Francisco State University,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Not too helpful,Not too difficult
41110,Diablo Valley College,Male,Asian,Local Student,Full time,Somewhat helpful,Struggle learning in this class,Very helpful,Not too difficult
89659,Diablo Valley College,Male,White,Local Student,Full time,Somewhat helpful,Very effective,Not too helpful,No problem at all
22029,San Francisco State University,Male,Asian,Local Student,Full time,Not too helpful,Somewhat effective,Somewhat helpful,Not too difficult
79822,San Francisco State University,Male,Asian,Local Student,Full time,Not too helpful,Not too effective,Somewhat helpful,No problem at all
55108,San Francisco State University,Female,African American,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
08345,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,No problem at all
54622,San Francisco State University,Male,White,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,Somewhat difficult
09577,San Francisco State University,Female,Asian,Local Student,Full time,Very helpful,Somewhat effective,Very helpful,No problem at all
35935,Diablo Valley College,Male,White,Local Student,Full time,Somewhat helpful,Very effective,Very helpful,No problem at all
06908,San Francisco State University,Female,Asian,Local Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,No problem at all
64114,San Francisco State University,Female,Hispanic,Local Student,Part time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
81270,Diablo Valley College,Male,Hispanic,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,Somewhat difficult
06839,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,No problem at all
49676,Diablo Valley College,Female,Hispanic,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Somewhat difficult
90311,San Francisco State University,Male,Hispanic,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Somewhat difficult
32828,San Francisco State University,Female,Hispanic,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
22021,San Francisco State University,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
28180,Diablo Valley College,Female,Hispanic,Local Student,Full time,Very helpful,Very effective,Very helpful,No problem at all
06869,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Very effective,Somewhat helpful,Not too difficult
97773,San Francisco State University,Female,Others,Local Student,Full time,Not too helpful,Struggle learning in this class,Not too helpful,No problem at all
95533,San Francisco State University,Male,Asian,Local Student,Full time,Very helpful,Very effective,Not too helpful,Not too difficult
08798,San Francisco State University,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,No problem at all
80271,San Francisco State University,Female,African American,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
18943,University of San Francisco,Female,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Somewhat difficult
59727,University of San Francisco,Male,Asian,International Student,Full time,Somewhat helpful,Very effective,Very helpful,Not too difficult
31998,San Francisco State University,Female,African American,Local Student,Full time,Somewhat helpful,Somewhat effective,Not too helpful,No problem at all
93375,San Francisco State University,Male,White,Local Student,Full time,Very helpful,Very effective,Very helpful,No problem at all
