id,School,Gender,Race,Local,Full Time,Future,Effectiveness,Online Supplement,Supplement Use,Feet,Inches,Weight,Exercise per Week,Exercise Time,Read Label,Taste,Price,Nutrition,Presentation,Appearance,Health,Parents Overweight,Final,Attend,Year,Semester,Class,Platform
68968,Diablo Valley College,Male,Asian,Local Student,Full time,Very helpful,Very effective,Very helpful,Somewhat difficult,5.0,9.0,150.0,2 to 4 days a week,20 - 30 minutes,Sometime,1.0,2.0,3.0,4.0,Yes,Yes,No,0.812520308,0.791666667,2016.0,Spring,101.0,Aplia
46998,Diablo Valley College,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult,5.0,4.0,160.0,2 to 4 days a week,30 - 40 minutes,Sometime,3.0,1.0,4.0,2.0,Yes,Yes,Not sure,0.640883769,1.0,2016.0,Spring,101.0,Aplia
79024,Diablo Valley College,Female,African American,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Somewhat difficult,5.0,9.0,150.0,I don't regularly exercise,Over an hour,Not too often,1.0,2.0,3.0,4.0,Yes,Yes,No,0.681215846,1.0,2016.0,Spring,101.0,Aplia
85016,Diablo Valley College,Male,Asian,Local Student,Full time,Not too helpful,Not too effective,Somewhat helpful,Somewhat difficult,5.0,11.0,180.0,Once a week,30 - 40 minutes,Often,1.0,2.0,4.0,3.0,Yes,Yes,No,0.501590909,0.92,2016.0,Spring,102.0,Aplia
36853,San Francisco State University,Male,Asian,Local Student,Full time,Not too helpful,Not too effective,Very helpful,No problem at all,4.0,10.0,105.0,2 to 4 days a week,Over an hour,Not too often,1.0,2.0,4.0,3.0,Yes,Yes,No,0.692272727,0.7894736840000001,2016.0,Spring,102.0,LaunchPad
65795,Diablo Valley College,Male,Asian,International Student,Full time,Very helpful,Very effective,Very helpful,Not too difficult,6.0,10.0,130.0,2 to 4 days a week,Over an hour,Sometime,1.0,4.0,2.0,3.0,Yes,Yes,No,0.896590909,0.923076923,2016.0,Spring,102.0,Aplia
47654,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Very effective,Somewhat helpful,Not too difficult,5.0,11.0,157.0,Once a week,20 - 30 minutes,Sometime,2.0,4.0,1.0,3.0,Yes,Yes,No,0.9034090909999999,0.605263158,2016.0,Spring,102.0,LaunchPad
20273,Diablo Valley College,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult,5.0,8.0,138.0,I don't regularly exercise,30 - 40 minutes,Not too often,2.0,1.0,3.0,4.0,Yes,Yes,No,0.524090909,0.72,2016.0,Spring,102.0,Aplia
58160,Diablo Valley College,Female,Asian,International Student,Full time,Very helpful,Very effective,Somewhat helpful,No problem at all,5.0,4.0,110.0,Once a week,20 - 30 minutes,Not too often,1.0,2.0,4.0,3.0,Yes,Yes,No,0.932606154,0.791666667,2016.0,Spring,101.0,Aplia
36036,Diablo Valley College,Male,Asian,International Student,Full time,Very helpful,Somewhat effective,Very helpful,No problem at all,5.0,8.0,125.0,Once a week,40 - 50 minutes,Sometime,1.0,3.0,2.0,4.0,Yes,Yes,Not sure,0.707021846,0.75,2016.0,Spring,101.0,Aplia
27781,Diablo Valley College,Female,Asian,International Student,Full time,Very helpful,Very effective,Somewhat helpful,Somewhat difficult,5.0,4.0,134.0,2 to 4 days a week,10 - 20 minutes,Always,1.0,2.0,3.0,4.0,Yes,Yes,No,0.777933538,0.791666667,2016.0,Spring,101.0,Aplia
94353,Diablo Valley College,Male,Asian,International Student,Full time,Very helpful,Very effective,Very helpful,Somewhat difficult,5.0,9.0,130.0,Once a week,30 - 40 minutes,Sometime,4.0,3.0,2.0,1.0,Yes,Yes,No,0.827272727,0.56,2016.0,Spring,102.0,Aplia
67021,Diablo Valley College,Female,Asian,International Student,Full time,Very helpful,Very effective,Very helpful,Very difficult,5.0,7.0,110.0,Once a week,30 - 40 minutes,Always,1.0,4.0,2.0,3.0,Yes,Yes,No,0.8344930770000001,0.666666667,2016.0,Spring,101.0,Aplia
21174,Diablo Valley College,Female,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,No problem at all,5.0,5.0,120.0,2 to 4 days a week,40 - 50 minutes,Sometime,2.0,3.0,1.0,4.0,Yes,Yes,No,0.860454545,0.96,2016.0,Spring,102.0,Aplia
50901,Diablo Valley College,Male,White,Local Student,Full time,Very helpful,Very effective,Very helpful,Somewhat difficult,5.0,10.0,184.0,5 to 7 days a week,40 - 50 minutes,Often,1.0,3.0,2.0,4.0,Yes,Yes,Not sure,0.605622846,0.875,2016.0,Spring,101.0,Aplia
53604,Diablo Valley College,Male,Asian,Local Student,Full time,Very helpful,Very effective,Very helpful,No problem at all,5.0,9.0,181.0,2 to 4 days a week,Over an hour,Always,1.0,3.0,2.0,4.0,Yes,Yes,No,0.718986923,0.875,2016.0,Spring,101.0,Aplia
